Connessione a Railway DB...
ETF da verificare: 2573
[1/2573] CSPX.AS              OK 610.528
[2/2573] IWDA.AS              OK 109.52
[3/2573] VWCE.DE              OK 143.84
[4/2573] SGLD.MI              OK 386.48
[5/2573] AEME.MI              OK 76.59
[6/2573] SPXS.MI              OK 11.37
[7/2573] VWCE.DE              OK 143.84
[8/2573] SGLD.MI              OK 386.48
[9/2573] VUSA.AS              OK 107.799
[10/2573] IUSQ.DE              OK 92.01
[11/2573] VWRL.AS              OK 140.0
[12/2573] XEON.DE              OK 148.675
[13/2573] CSNDX.MI             OK 1201.27
[14/2573] MEUD.PA              OK 281.7
[15/2573] ISF.L                OK 982.1
[16/2573] CSP1.AS              
  FAIL - Nessun ticker trovato per IE0031442068 (iShares Core S&P 500 UCITS ETF USD (Dist)
[17/2573] XDWD.DE              OK 119.69
[18/2573] SPY5.MI              OK 571.0
[19/2573] IB01.L               OK 119.7
[20/2573] IESE.MI              OK 67.61
[21/2573] SWRD.MI              OK 40.035
[22/2573] SGAS.MI              OK 19.292
[23/2573] SP5C.MI              OK 411.8
[24/2573] OM3L.DE              OK 9.804
[25/2573] QDVE.DE              OK 33.66
[26/2573] HMWD.MI              OK 37.265
[27/2573] MWRD.MI              OK 137.45
[28/2573] GOLD.AS              OK 184.097
[29/2573] SP5A.MI              OK 14.016
[30/2573] IMEU.MI              OK 36.155
[31/2573] I500.MI              OK 9.49
[32/2573] XMME.MI              OK 67.978
[33/2573] XD9U.MI              OK 167.3
[34/2573] XDEW.MI              OK 92.02
[35/2573] IEAG.AS              OK 106.81
[36/2573] EXSA.MI              OK 57.64
[37/2573] EQQQ.MI              OK 511.79
[38/2573] JREU.MI              OK 56.97
[39/2573] SPXD.MI              OK 52.68
[40/2573] EXS1.MI              OK 187.9
[41/2573] SPYX.DE              OK 123.3
[42/2573] DFNS.MI              OK 61.49
[43/2573] PHAU.MI              OK 373.19
[44/2573] EMEG.MI              OK 6.946
[45/2573] IUES.AS              OK 135.6
[46/2573] WLD.MI               OK 369.52
[47/2573] IEEM.MI              OK 49.105
[48/2573] VHYL.MI              OK 72.53
[49/2573] XZMU.MI              OK 61.1
[50/2573] HSPD.MI              OK 57.4
[51/2573] WRDA.MI              OK 34.09
[52/2573] IWRD.MI              OK 79.01
[53/2573] XMEU.MI              OK 105.76
[54/2573] EDME.MI              OK 10.14
[55/2573] EMIM.AS              OK 40.315
[56/2573] EXW1.DE              OK 56.42
[57/2573] XGDU.MI              OK 62.0
[58/2573] TDIV.MI              OK 51.45
[59/2573] XDAX.MI              OK 212.75
[60/2573] IUSN.DE              OK 7.915
[61/2573] MXUS.MI              OK 166.94
[62/2573] CSBGU7.MI            OK 123.72
[63/2573] SPPW.DE              OK 40.011
[64/2573] SUSW.MI              OK 11.898
[65/2573] XESC.MI              OK 98.2
[66/2573] CSEMU.MI             OK 213.5
[67/2573] SMSWLD.MI            OK 117.59
[68/2573] XAIX.MI              OK 152.39
[69/2573] CSEMAS.MI            OK 215.55
[70/2573] MEUR.DE              OK 109.18
[71/2573] XESX.MI              OK 58.14
[72/2573] EMMUSC.MI            OK 13.742
[73/2573] XZW0.MI              OK 41.845
[74/2573] EUE.MI               OK 56.9
[75/2573] IHYG.MI              OK 89.43
[76/2573] XMAW.MI              OK 42.95
[77/2573] AYEM.DE              OK 7.728
[78/2573] SMART.MI             OK 108.67
[79/2573] SGBS.MI              OK 384.64
[80/2573] EXUS.MI              OK 35.385
[81/2573] VHVE.MI              OK 113.5
[82/2573] IWVL.AS              
  FAIL - Nessun ticker trovato per IE00BP3QZB59 (iShares Edge MSCI World Value Factor UCI)
[83/2573] JREG.MI              OK 50.79
[84/2573] VUKE.MI              OK 50.5
[85/2573] SEML.MI              OK 39.445
[86/2573] IBCI.AS              OK 234.56
[87/2573] SPP5.DE              OK 8.8346
[88/2573] XBLC.MI              OK 161.07
[89/2573] LCJP.MI              OK 19.894
[90/2573] BNKE.MI              OK 293.6
[91/2573] WDEF.MI              OK 33.4
[92/2573] XMWO.MI              OK 117.24
[93/2573] XSXD.MI              OK 12.476
[94/2573] IWDE.AS              OK 103.825
[95/2573] ECRP.MI              OK 53.54
[96/2573] SLMC.DE              OK 9.69
[97/2573] SPY4.MI              OK 89.93
[98/2573] IS0E.DE              OK 33.175
[99/2573] SAWD.MI              OK 10.2
[100/2573] NDIA.MI              OK 7.215
[101/2573] SUOE.MI              OK 4.705
[102/2573] R2US.MI              OK 62.41
[103/2573] IMIE.MI              OK 9.89
